PC1,PC2,PC3,PC4,PC5,PC6
0.030333095003129595,2.4090278032844608,3.1069139135318355,0.5000967471238433,-0.3527812357759363,1.3720755080285632
0.2588168046322598,-2.0474239161391727,0.8428346038029846,0.4186542131550097,0.29325724111243984,0.6354164682648444
0.5027560949241939,-1.9935363995037523,-0.04147604239646545,0.3876509774737508,0.47442301143212195,0.36327592976248746
0.06518790847866818,-1.4678134222491368,-0.11385883756739572,0.11559773973172723,0.051513273402220776,-0.2565463827230647
0.17386450385205313,-0.012350357016834821,1.159316159458922,-1.8940016103400812,4.136647544323286,0.9970763715047328
-0.15771026413535894,-0.22194085400392577,-0.9855609085615803,-0.49611339955349476,-0.22705384844468302,-0.3140236216354819
-0.36506198652292804,2.4927957391365965,-0.25396115148666204,4.512592032347196,2.138580765907676,-1.8766463784297756
0.13616127149970148,-1.4128778478932429,0.2401160866483502,0.40095616153710073,0.30893583404063485,0.9648862590494035
0.08642316704352142,-1.7214629020797767,-0.20206931079885637,0.028103626700702013,0.250541545064475,-0.7369036805062513
-0.3539384593334386,1.9271585592634468,1.5191082232538473,-0.9523324171481778,0.35765797650657305,-0.2216780501792839
0.19177662567509693,-1.8622639921448503,0.3387798354973132,0.48332319615975183,0.3097194550989323,0.48382248729410654
-0.2271851620108477,0.467342373126554,0.6575186853419079,-0.5840149548444348,-0.6719608875446148,-0.8983116196362995
-0.3090466019417226,1.1433171506302426,1.1094106413044604,-0.8139499798561162,-0.5788353994610126,-0.5835088726587278
1.1598600637704146,-0.6589151519077693,1.9651897832008927,-0.15189958882298413,0.4036092877181544,0.608719125552658
-0.28086106761939733,0.4186622864911325,-1.80217553030127,0.006389834537948527,-0.25345313880670095,-0.1997173483802213
-0.08157555956363549,-0.17004517858320214,0.5545877764305293,-0.6476986482429571,0.044418909208997104,-0.011494644261437564
-0.43286006088231455,1.897084540426129,-1.3947464653062547,1.114053830558244,0.49394430497181313,-0.4478773604042468
-0.09856169715682776,-0.5959187443576159,-0.8990627039708384,-0.4590657624496677,0.22787514743725293,-0.06601013497569766
-0.07559550013637308,-0.44262042005101443,0.8465930054373182,-0.3283392248481592,-0.6796503727422909,-0.7335289416450471
0.25178413117102305,-2.3073398653506114,0.35045797699341547,0.6198995816742394,0.2859946534768108,0.17069821273413197
-0.19210123462518125,0.5498901419706775,0.23682393378152516,-0.1933286693555396,0.2799952695473878,0.38391736604547133
-0.11251780573961168,-0.3721339420475054,0.8058349628061111,-0.41579616229684935,-0.8391905072598524,-1.128630382098179
0.27543193431371127,-2.113575021216005,0.37613875883139997,0.6703678414652556,0.6132203843809518,1.1339740255261468
-0.01405619324281638,-1.0923219197220475,-0.26895873082791594,-0.23268741114942315,0.17068619428044418,-0.48408444519363997
-0.23001271800839435,0.2531599127070378,-0.9570417287000317,-0.23412709692229378,-0.3837653943144044,0.09523410023537687
-0.2661651909733496,1.3652560372906517,1.0531136502560183,0.09769462509422981,-0.560758510702671,0.8368774710259377
-0.4401735485380325,1.8224265185072253,-0.45178464898825466,-0.5617968924120843,-0.6055137761637405,0.9671911513111595
-0.35942571773556203,0.9207977596600283,-0.8618490980867345,-0.7785419384744159,-1.023837902144692,0.1505892292410053
0.222093526084807,-2.2562271049047435,0.22970646720740379,0.39202052621331573,0.40937814262937205,-0.19787272340606635
0.0727833584364894,0.7092510777284764,-0.33817065344339514,-0.12571465044521873,-0.21559185381945498,1.108855834241724
0.31738220927245847,-1.569443630824598,0.5963200560392654,0.46291358636843694,0.32043198061542477,0.7683402844766098
0.3930095133170559,-2.8065960120593085,0.8108032875587434,0.9468902357149456,0.6560368971531257,0.8005228425181744
-0.21636156870889972,0.27743003590777465,-1.1535271474094146,0.39269298065227004,0.33059985958818805,-0.48095485882949823
-0.23743710007761595,0.6699181397146668,-0.40516069615786554,-0.15439770793645397,-0.02596043472687266,0.4536691770631893
0.41628779991037906,-1.3782526468151897,0.0018011310317955346,0.3661138235979705,0.21834950722990695,0.8202439837460322
-0.28265106370081916,0.557291246305819,-1.1086436058532174,-0.6943778175379413,0.10604210858907345,0.00818827621501453
0.5036371168223958,-0.6003272299145442,0.8449947549825393,0.2712983032383313,0.041308828512554255,1.0738802679722008
0.2575716197530855,-1.139946676013292,-0.20190465295622256,0.14857183723980547,0.4418770152008283,0.9653973222282113
0.1889253745442841,-2.166974424546041,0.020731474743243838,0.3923622916929879,0.19254840056811362,-0.3223698256107849
-0.18991778738256207,0.5132054724576998,-0.10546676842392909,0.13835260165665306,-0.19468058453710332,0.7116305815222944
0.11797981251802407,-0.09663811423340884,0.6359816216309977,0.3522472908525916,0.1080644344299447,1.4691502666299292
-0.2517138618027955,0.06409262358842695,-2.092786501598498,-0.6836852580105592,-0.05063909965722078,0.011559710860258506
0.14177645948131126,-1.6853643224923809,0.7194210102049634,-0.13941071588664822,0.34703687067087396,-0.3664225022112531
0.2390288812354544,-2.068112176449401,1.0326061647574922,0.32819286620166943,0.1916209200039197,0.0913522756093931
-0.5586915986013324,3.108635553992261,-0.3618793247067148,1.136540986753421,-0.6640423452388269,1.5286441016652668
-0.36207106767078384,1.1238236928717915,-0.04992625365321185,-1.4247838478901036,-0.2633872890349309,-0.6280780962198533
-0.08561347825345933,-0.9615858209643943,-1.5911948734146582,-0.3897016848908633,0.018037655893410654,-0.4795212655137436
-0.04845114463679852,-0.4959802157613757,0.27262910642100885,0.3677021540530218,-0.12132924656341314,-0.1803092926201367
